Fecha,Almacen,Categoria,Sub_categoria1,Sub_categoria2,Sub_categoria3,Sub_categoria4,Sub_categoria5,Nombre,Marca,Referencia,Url,Item_id,Url_Comentarios,Url_Interacciones,Precio_hoy,Vendidos,Tienda,Comentarios,Calificacion
2021/08/18,Mercado Libre,Telefonia,celulares y telefonos,smartwatches y accesorios,smartwatches,xiaomi,,correas manilla pulsoxiaomi mi band 3/ xiaomi mi band 4,xiaomi,m4 y m3,https://articulo.mercadolibre.com.co/MCO-551831673-correas-manilla-pulso-xiaomi-mi-band-3-xiaomi-mi-band-4-_JM,MCO551831673,,https://articulo.mercadolibre.com.co/noindex/questions/MCO551831673?,4990,5752,,102,5
2021/08/18,Mercado Libre,Telefonia,celulares y telefonos,smartwatches y accesorios,correas,,,correa pulso 20mm samsung watch active 2 gear amazfit huawei,samsung fossil moto 360 huawei pebble withings lg gear ticwatch amazfit,watch active active 2 fossil q gazer huawei watch 2 pro  moto 360 2nd gen  pebble time samsung gear s2 lg gizmo,https://articulo.mercadolibre.com.co/MCO-566560130-correa-pulso-20mm-samsung-watch-active-2-gear-amazfit-huawei-_JM,MCO566560130,,https://articulo.mercadolibre.com.co/noindex/questions/MCO566560130?,21900,613,,16,5
2021/08/18,Mercado Libre,Telefonia,celulares y telefonos,smartwatches y accesorios,smartwatches,apple,,case protector para apple watch serie 1 / 2 / 3 / 4 / 5,apple,series 1 2 3 4 5 6,https://articulo.mercadolibre.com.co/MCO-577469777-case-protector-para-apple-watch-serie-1-2-3-4-5-_JM,MCO577469777,,https://articulo.mercadolibre.com.co/noindex/questions/MCO577469777?,16000,498,,15,4
2021/08/18,Mercado Libre,Telefonia,celulares y telefonos,smartwatches y accesorios,smartwatches,xiaomi,,xiaomi mi band 6 + correa banda adicional + 2 protectores,xiaomi,mi smart band 6,https://articulo.mercadolibre.com.co/MCO-617733263-xiaomi-mi-band-6-correa-banda-adicional-2-protectores-_JM,MCO617733263,,https://articulo.mercadolibre.com.co/noindex/questions/MCO617733263?,189900,196,,12,5
2021/08/18,Mercado Libre,Telefonia,celulares y telefonos,smartwatches y accesorios,smartwatches,xiaomi,,xiaomi mi band 6 + correa manilla deportiva + protector sp02,xiaomi,mi smart band 6,https://articulo.mercadolibre.com.co/MCO-623303445-xiaomi-mi-band-6-correa-manilla-deportiva-protector-sp02-_JM,MCO623303445,,https://articulo.mercadolibre.com.co/noindex/questions/MCO623303445?,202999,168,,9,5
2021/08/18,Mercado Libre,Telefonia,celulares y telefonos,smartwatches y accesorios,correas,,,correa manilla pulsera silicona mi band 5,generica para xiaomi,mi band 5,https://articulo.mercadolibre.com.co/MCO-580841923-correa-manilla-pulsera-silicona-mi-band-5-_JM,MCO580841923,,https://articulo.mercadolibre.com.co/noindex/questions/MCO580841923?,4899,1948,,26,4
2021/08/18,Mercado Libre,Telefonia,celulares y telefonos,smartwatches y accesorios,smartwatches,dt no1,,reloj inteligente smartwatch dt88 pro gold rose,dt no1,dt88 pro gold rose,https://articulo.mercadolibre.com.co/MCO-569713219-reloj-inteligente-smartwatch-dt88-pro-gold-rose-_JM,MCO569713219,,https://articulo.mercadolibre.com.co/noindex/questions/MCO569713219?,179900,340,,28,4
2021/08/18,Mercado Libre,Telefonia,celulares y telefonos,smartwatches y accesorios,smartwatches,,,pulso correa nylon sport loop smart watch apple 38/40 42/44,mu sen,sport loop,https://articulo.mercadolibre.com.co/MCO-543672051-pulso-correa-nylon-sport-loop-smart-watch-apple-3840-4244-_JM,MCO543672051,,https://articulo.mercadolibre.com.co/noindex/questions/MCO543672051?,19900,1690,,88,5
2021/08/18,Mercado Libre,Telefonia,celulares y telefonos,smartwatches y accesorios,smartwatches,huawei,,reloj inteligente huawei fit,huawei,huawei watch fit,https://articulo.mercadolibre.com.co/MCO-595399138-reloj-inteligente-huawei-fit-_JM,MCO595399138,,https://articulo.mercadolibre.com.co/noindex/questions/MCO595399138?,549900,505,,97,4
2021/08/18,Mercado Libre,Telefonia,relojes y joyas,repuestos para relojes,correas,,,manilla pulso pulsera repuesto smartwatch y68 d20 nuevas,,d20 y68,https://articulo.mercadolibre.com.co/MCO-583026851-manilla-pulso-pulsera-repuesto-smartwatch-y68-d20-nuevas-_JM,MCO583026851,,https://articulo.mercadolibre.com.co/noindex/questions/MCO583026851?,9900,684,,11,4
2021/08/18,Mercado Libre,Telefonia,celulares y telefonos,smartwatches y accesorios,smartwatches,,,smartwatch reloj inteligente deportes sumergible musica,smartwatch,s20,https://articulo.mercadolibre.com.co/MCO-570269698-smartwatch-reloj-inteligente-deportes-sumergible-musica-_JM,MCO570269698,,https://articulo.mercadolibre.com.co/noindex/questions/MCO570269698?,140000,469,,29,5
2021/08/18,Mercado Libre,Telefonia,relojes y joyas,relojes,smartwatches,,,reloj inteligente deportivo d20 regalo mujeres hombres ninos,d20,20,https://articulo.mercadolibre.com.co/MCO-564170708-reloj-inteligente-deportivo-d20-regalo-mujeres-hombres-ninos-_JM,MCO564170708,,https://articulo.mercadolibre.com.co/noindex/questions/MCO564170708?,42700,1052,,35,5
2021/08/18,Mercado Libre,Telefonia,celulares y telefonos,smartwatches y accesorios,protectores de pantalla,,,protector de pantalla para huawei watch fit,mlk/protector de pantall,huawei fit,https://articulo.mercadolibre.com.co/MCO-597443650-protector-de-pantalla-para-huawei-watch-fit-_JM,MCO597443650,,https://articulo.mercadolibre.com.co/noindex/questions/MCO597443650?,17900,972,,60,5
2021/08/18,Mercado Libre,Telefonia,celulares y telefonos,smartwatches y accesorios,smartwatches,,,reloj inteligente mujer kw10 smartwatch android ios,valdus,kw10,https://articulo.mercadolibre.com.co/MCO-552370006-reloj-inteligente-mujer-kw10-smartwatch-android-ios-_JM,MCO552370006,,https://articulo.mercadolibre.com.co/noindex/questions/MCO552370006?,199900,356,,,0
2021/08/18,Mercado Libre,Telefonia,celulares y telefonos,smartwatches y accesorios,smartwatches,xiaomi,,xiaomi mi band 5 + airdots basic xiaomi audifonos earbuds,xiaomi,mi band 5,https://articulo.mercadolibre.com.co/MCO-575564070-xiaomi-mi-band-5-airdots-basic-xiaomi-audifonos-earbuds-_JM,MCO575564070,,https://articulo.mercadolibre.com.co/noindex/questions/MCO575564070?,213903,282,,12,4
2021/08/18,Mercado Libre,Telefonia,celulares y telefonos,smartwatches y accesorios,smartwatches,samsung,,reloj inteligente samsung galaxy watch fit 2 negro,samsung,fit 2,https://articulo.mercadolibre.com.co/MCO-599824739-reloj-inteligente-samsung-galaxy-watch-fit-2-negro-_JM,MCO599824739,,https://articulo.mercadolibre.com.co/noindex/questions/MCO599824739?,169900,422,,63,4
2021/08/18,Mercado Libre,Telefonia,celulares y telefonos,smartwatches y accesorios,smartwatches,,,reloj smart watch mi band 4 reloj inteligente,import,m4,https://articulo.mercadolibre.com.co/MCO-625436169-reloj-smart-watch-mi-band-4-reloj-inteligente-_JM,MCO625436169,,https://articulo.mercadolibre.com.co/noindex/questions/MCO625436169?,24800,235,,4,5
